t,Approximate Solution,Exact Solution,Absolute Error
0.125000000000000,91062.327316118099000,91059.298296323468000,3.029019794626990
0.062500000000000,91059.729332390125000,91059.298296323468000,0.431036066653220
0.031250000000000,91059.336819419463000,91059.298296323468000,0.038523095991010
0.015625000000000,91059.301161927622000,91059.298296323468000,0.002865604150472
0.007812500000000,91059.298491640497000,91059.298296323468000,0.000195317024961
0.003906250000000,91059.298309071484000,91059.298296323468000,0.000012748012566
0.001953125000000,91059.298297137764000,91059.298296323468000,0.000000814292477
0.000976562500000,91059.298296374895000,91059.298296323468000,0.000000051422873
0.000488281250000,91059.298296326568000,91059.298296323468000,0.000000003095963
0.000244140625000,91059.298296323817000,91059.298296323468000,0.000000000345651
